prime_genre,rating_count_tot
"Social Networking",2974676
"Photo & Video",2161558
Games,2130805
Games,1724546
Music,1126879
"Social Networking",1061624
Reference,985920
Games,961794
Music,878563
Games,824451
Games,706110
Games,698516
Games,679055
Games,677247
Games,669079
Games,612532
Games,567344
Games,541693
Games,522012
Games,508808
"Health & Fitness",507706
Games,503230
Weather,495626
Games,481564
Utilities,479440
Games,464312
Games,446880
Travel,446185
Games,426463
Games,418033
Shopping,417779
Games,416736
Games,414803
Games,405647
Games,405007
Music,402925
Games,397730
Games,395261
Games,393469
Games,391401
Games,386521
Games,373857
"Health & Fitness",373835
"Social Networking",373519
Games,370370
Games,360974
Games,359832
News,354058
"Social Networking",351466
Navigation,345046
Lifestyle,342969
"Social Networking",334293
Games,327025
Games,326482
"Photo & Video",323905
Entertainment,308844
"Food & Drink",303856
Games,301182
Games,295211
Games,293857
Music,293228
Entertainment,291787
Sports,290996
"Social Networking",287589
Games,287095
"Photo & Video",278166
Games,277268
Games,274501
Games,267394
Games,266921
Games,266440
Shopping,262241
"Social Networking",260965
"Food & Drink",258624
Games,257627
Games,257100
Games,253448
Book,252076
Entertainment,247809
Games,241929
Games,233599
Finance,233270
Finance,232940
Games,230289
Travel,223885
Games,221002
Games,219418
Games,218024
Games,213092
Weather,208648
Reference,200047
Games,199396
Games,198338
Games,198050
Sports,190670
Weather,188583
Games,188568
Games,187666
Games,187579
Entertainment,187529
Games,187315
Games,186653
Games,186089
Games,183621
Entertainment,183425
Games,183259
Games,181384
Games,181359
Games,180087
Games,179416
Games,179111
"Social Networking",177501
Games,176514
Games,172686
Entertainment,171055
Games,170843
Games,168674
"Social Networking",164963
Games,164483
Games,164377
"Social Networking",164249
Games,163598
Education,162701
Productivity,161065
Games,160668
Sports,159735
Games,159323
Games,158845
Games,157882
Games,155903
Navigation,154911
Games,153588
Games,151559
Weather,150158
Games,149138
Sports,148160
Travel,145549
Games,145043
Weather,144214
Games,143908
Games,143285
Lifestyle,143040
Shopping,141960
Games,141634
Games,141224
Games,139486
Games,138726
Sports,137951
Games,137122
"Health & Fitness",136833
Productivity,135962
Music,135744
Games,134080
Games,133394
News,132703
Music,131695
Games,131656
Shopping,130823
Games,130519
Utilities,130450
Games,128739
Utilities,126948
Shopping,126312
Games,126233
Games,124618
Games,123859
"Photo & Video",123433
"Photo & Video",123268
Productivity,123215
Education,123190
Games,123032
Games,122868
Games,122260
Games,122081
Finance,119773
Finance,119487
Music,119316
Entertainment,117889
Games,117470
Games,117338
Games,116620
Games,116601
Games,114475
Games,114096
Games,113959
"Food & Drink",113936
Productivity,113709
News,112886
"Social Networking",112778
Weather,112603
Games,111579
Music,110420
Games,110062
Entertainment,109549
"Food & Drink",109349
Games,109104
Utilities,108507
Games,108183
Shopping,108131
Games,107916
Games,107817
Games,107797
Games,107727
Games,106434
Games,106398
Music,106235
Games,105776
"Photo & Video",105429
Book,105274
"Health & Fitness",104539
Games,104502
Games,104060
Shopping,103655
Finance,101679
Games,101599
Entertainment,101222
Lifestyle,100477
Games,100035
Utilities,99244
Games,99206
Games,98851
Entertainment,98777
Entertainment,98344
Games,98036
Entertainment,97368
Games,97122
"Social Networking",97072
Education,96534
Games,95892
"Photo & Video",93781
Games,90851
"Health & Fitness",90496
"Social Networking",90414
"Photo & Video",90355
Games,89110
Shopping,88885
"Photo & Video",88742
Entertainment,88613
Games,87958
Games,87898
Games,86127
"Social Networking",85535
Games,85395
Games,84680
Book,84062
Games,83784
Music,82602
Games,81648
Games,81311
Entertainment,81006
Games,80801
Shopping,80424
Games,80308
Games,80058
"Photo & Video",79905
Games,79683
Games,79074
Games,78918
Entertainment,78890
Games,78412
Games,77370
Games,76720
Games,76622
Games,76392
Games,75822
Games,75793
Games,75714
"Social Networking",75412
Games,75034
Games,72989
Entertainment,72187
"Social Networking",71856
Music,71609
Games,70926
Shopping,70286
Games,70122
Games,69624
Games,69610
Games,69368
Games,68911
Games,67861
News,67560
Games,66004
Games,66002
Games,65831
Book,65450
Games,65201
Games,65155
Utilities,65016
Sports,64925
Games,64586
Productivity,64259
Games,63943
Games,63291
Games,63272
Games,62061
News,61724
"Social Networking",60659
Games,60601
Lifestyle,60490
Games,60488
Games,60360
Games,60271
