track_name,rating_count_tot,price,size_bytes,prime_genre
Facebook,"2 974 676,00",0,389879808,Social Networking
Instagram,2161558,0,113954816,Photo & Video
Clash of Clans,2130805,0,116476928,Games
Temple Run,1724546,0,65921024,Games
Pandora - Music & Radio,1126879,0,130242560,Music
Pinterest,1061624,0,74778624,Social Networking
Bible,985920,0,92774400,Reference
Candy Crush Saga,961794,0,222846976,Games
Spotify Music,878563,0,132510720,Music
Angry Birds,"824 451,00",0,175966208,Games
,,,,
,,,,
,,,,
Largest app,2116109312,,,
,2113134636,,,
