track_name,user_rating,rating_count_tot,price
"Head Soccer",5,481564,0
"Plants vs. Zombies",5,426463,0.99
"Sniper 3D Assassin: Shoot to Kill Gun Game",5,386521,0
"Geometry Dash Lite",5,370370,0
"Infinity Blade",5,326482,0.99
"Geometry Dash",5,266440,1.99
"Domino's Pizza USA",5,258624,0
"CSR Racing 2",5,257100,0
"Pictoword: Fun 2 Pics Guess What's the Word Trivia",5,186089,0
"Plants vs. Zombies HD",5,163598,0.99
"The Room",5,143908,0.99
"Iron Force",5,141634,0
"Sniper Shooter: Gun Shooting Games",5,134080,0
"Flashlight ???",5,130450,0
"Pic Collage - Picture Editor & Photo Collage Maker",5,123433,0
"Zappos: shop shoes & clothes, fast free shipping",5,103655,0
"Credit Karma: Free Credit Scores, Reports & Alerts",5,101679,0
"PewDiePie's Tuber Simulator",5,90851,0
"We Heart It - Fashion, wallpapers, quotes, tattoos",5,90414,0
"Google Photos - unlimited photo and video storage",5,88742,0
"Color Therapy Adult Coloring Book for Adults",5,84062,0
"Blackbox - think outside the box",5,80058,0
"Egg, Inc.",5,79074,0
"Flight Pilot Simulator 3D: Flying Game For Free",5,60360,0
"Logos Quiz -Guess the most famous brands, new fun!",5,58640,0
"Elevate - Brain Training and Games",5,58092,0
"HB2 PLUS",5,54073,0.99
"Tricky Test 2???: Genius Brain?",5,45578,0
"Ski Safari",5,45121,0.99
"The Room Two",5,36809,1.99
"Gin Rummy Plus - Multiplayer Online Card Game",5,36355,0
"Yu-Gi-Oh! Duel Links",5,35570,0
"FotoRus -Camera & Photo Editor & Pic Collage Maker",5,32558,0
"Arrow Ambush",5,32020,0
"Crazy Kitchen",5,30704,0
"Yoga Studio",5,28439,4.99
"TurboScan??? Pro - document & receipt scanner: scan multiple pages and photos to PDF",5,28388,4.99
"Browser and File Manager for Documents",5,27750,0
"FreePrints ??? Photos Delivered",5,26060,0
"SMILE Inc.",5,25859,0
"Triller - Music Video & Film Maker",5,25683,0
"The Room Three",5,23878,4.99
"Castle Crush: Epic Strategy Game",5,23148,0
"Shopular Coupons, Weekly Deals for Target, Walmart",5,22729,0
"Sky Guide: View Stars Night or Day",5,22100,2.99
"Vlogger Go Viral - Clicker Game & Vlog Simulator",5,21977,0
"Memrise: learn languages",5,20383,0
"Sugar Smash: Book of Life",5,20254,0
"Ghost Lens+Scary Photo Video Edit&Collage Maker",5,18316,0
"ipsy - Makeup, subscription and beauty tips",5,17489,0
Bruh-Button,5,17487,0
"X-War: Clash of Zombies",5,17254,0
"Sworkit - Custom Workouts for Exercise & Fitness",5,16819,0
Deemo,5,15855,1.99
"NOAA Hi-Def Radar Pro -  Storm Warnings, Hurricane Tracker & Weather Forecast",5,15809,1.99
"Duet Game",5,14407,2.99
"Fieldrunners 2",5,14214,2.99
"VPN Proxy Master - Unlimited WiFi security VPN",5,13674,0
"CPlus for Craigslist app - mobile classifieds",5,13345,0
"Artisto ??? Video and Photo Editor with Art Filters",5,12963,0
Headspace,5,12819,0
"InShot Video Editor Music, No Crop, Cut",5,12779,0
"Ebates: Cash Back, Coupons & Rebate Shopping App",5,12617,0
"Wayfair - Shop Furniture, Home Decor, Daily Sales",5,12578,0
"Optical Inquisitor 17+",5,12099,0.99
"Solitaire ???",5,12077,0
"Word Chums",5,11536,3.99
":) Sudoku +",5,11447,2.99
"Kingdom Rush Frontiers HD",5,11447,2.99
"War Machines: 3D Multiplayer Tank Shooting Game",5,11325,0
"CARROT To-Do - Talking Task List",5,11322,2.99
"Bee Brilliant",5,11151,0
"PewDiePie: Legend of the Brofist",5,10828,4.99
"Chess Pro - with coach",5,10619,9.99
"War Tortoise",5,10555,0
"Endless Alphabet",5,10534,8.99
"5K Runner: 0 to 5K Run Trainer. Couch potato to 5K",5,10368,4.99
"Monster Super League",5,10368,0
"Stupid Zombies 3",5,10159,0
"Attack the Light - Steven Universe Light RPG",5,10132,2.99
"Word Swag - Cool fonts & typography generator",5,9731,4.99
ASOS,5,9725,0
"Evolution Calculator - CP & XP - for Pokemon GO!",5,9269,0
"Tank.IO War - Free Tank games of snake",5,9259,0
"Dragon Island Blue",5,9119,0.99
"Cut the Rope: Time Travel",5,9003,0.99
"Despicable Bear - Top Beat Action Game",5,8872,0
"8fit - Workouts, meal plans and personal trainer",5,8730,0
"Romwe shopping- Fashion Clothing for women",5,8558,0
"The Guardian",5,8176,0
Cytus,5,7925,1.99
"Dreamdays: Count Down to the Days that Matter",5,7863,0.99
"Super Sharp",5,7776,1.99
"Burrito Bison: Launcha Libre",5,7740,0
"Dan The Man (Retro Action Platformer)",5,7527,0
"BeautyPlus - Selfie Camera for a Beautiful Image",5,7503,0
"Super Cat Tales",5,7423,0
"e-Sword HD: Bible Study Made Easy",5,7309,4.99
"Slots: DoubleUp Free Slot Games - Slot Machines",5,7177,0
"Tobuscus Adventures: Wizards",5,6741,4.99
